Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2
XGBoost Baseline,1280.476057696926,2266.8933395081613,941.0257375327745,1763.999854690722,0.9756996027736393,0.8664506787941801
XGBoost Tuned,965.4866664816452,2238.881907714764,703.4767052052372,1722.696716406331,0.9861846144658376,0.8697307581068138
