Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Source,Notes
Random Forest Baseline,1278.4488271718787,2731.610200666129,939.1039875807322,2149.7084229652014,0.9757764859154996,0.806082517778369,Notebook 03,Initial baseline with all features
PyCaret AutoML,,1277.3270988024565,,966.8354268649566,,0.9575982516763862,Notebook 04,Likely data leakage (england_wales_demand feature)
XGBoost Baseline,1280.476057696926,2266.8933395081613,941.0257375327744,1763.999854690722,0.9756996027736392,0.8664506787941801,Notebook 05,After removing correlated features
XGBoost Tuned,965.4866664816452,2238.881907714764,703.4767052052372,1722.696716406331,0.9861846144658376,0.8697307581068138,Notebook 05,After removing correlated features
